question_text,source,module_type,toggle_category,keywords,n_keywords,word_count,complexity,Ui,Bi,Ri,selected_for_module
Any financial difficulties,COVID-19,Crisis-Specific,Generic Core,"['any financial difficulties', 'financial difficulties']",2,3,0.0,1.7,0.3,5.6667,True
Lost earnings because of the pandemic,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['earnings', 'lost earnings', 'pandemic', 'the pandemic']",4,6,0.0,3.4,0.6,5.6667,True
stopped this work?,Govt Shutdown Income,Generic,Generic Core,"['stopped', 'this work', 'work']",3,3,0.0,1.4,0.3,4.6667,True
Received stimulus payment,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['received stimulus payment', 'stimulus payment']",2,3,0.0,1.4,0.3,4.6667,True
stopped working at this business?,Govt Shutdown Income,Generic,Generic Core,"['business', 'stopped working', 'this business']",3,5,0.0,2.25,0.5,4.5,True
Working in a job that was considered essential work?,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['a job', 'considered essential work', 'essential work', 'job', 'that', 'working']",6,9,0.0,3.6,0.9,4.0,True
How did you/your family manage any financial difficulties due to the shutdown - sell your belongings?,Govt Shutdown Crisis,Crisis-Specific,Toggle: Financial Crisis,"['any financial difficulties', 'belongings', 'family manage', 'financial difficulties due', 'sell', 'shutdown', 'the shutdown', 'you', 'your belongings', 'your family']",10,16,0.0,5.95,1.6,3.7188,True
Only work from home,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,"['home', 'only work', 'work']",3,4,0.0,1.4,0.4,3.5,True
Stimulus payments,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,['stimulus payments'],1,2,0.0,0.7,0.2,3.5,True
Paycheck protection,COVID-19,Crisis-Specific,Toggle: Pandemic / Disaster,['paycheck protection'],1,2,0.0,0.7,0.2,3.5,True
Did you evacuate from your home before Katrina or Rita hit?,Hurricane Katrina 2007,Crisis-Specific,Toggle: Pandemic / Disaster,"['evacuate', 'home', 'katrina', 'rita', 'rita hit', 'you', 'your home']",7,11,1.5,4.45,1.4,3.1786,True
Were/Was there any wages or salarys from this job/these jobs?,Govt Shutdown Income,Generic,Generic Core,"['any wages', 'job', 'jobs', 'salarys', 'these jobs', 'this job', 'wages']",7,10,0.5,3.0,1.1,2.7273,True
