variable_name,question_text,source,module_type,toggle_category,historical_toggle_category,ri_threshold_score,keywords,n_keywords,word_count,complexity,Ui,Bi,Ri,selected_for_module,selected,minutes,Pi,augmented_utility,idf_strength,redundancy_penalty,construct_bonus,portability_bonus,construct_count,recommended_wording,keyword_list,tagged_keywords,constructs
SPC_HOME_DAMAGED_DESTROYED_DISASTER,Was your home damaged or destroyed by Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.378,"['damaged', 'destroyed', 'home', 'katrina', 'rita', 'your home']",6,10,0.0,2.65,1.0,2.65,True,True,1.167,2.266,3.276,3.013,0.686,5.182,0.02,2,Was your home damaged or destroyed by the disaster?,"['damaged', 'destroyed', 'home', 'katrina', 'rita', 'your home']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'your home', 'construct': 'Housing / Shelter', 'weight': 0.85}]","['Housing / Shelter', 'Trauma / Health']"
SPC_BUSINESS_DAMAGED_DESTROYED_DISASTER,Was your business damaged or destroyed by Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.512,"['business', 'damaged', 'destroyed', 'katrina', 'rita', 'your business']",6,10,0.0,3.3,1.0,3.3,True,True,1.167,2.962,4.282,3.107,0.686,7.893,0.02,2,Was your business damaged or destroyed by the disaster?,"['business', 'damaged', 'destroyed', 'katrina', 'rita', 'your business']","[{'keyword': 'business', 'construct': 'Economic / Income', 'weight': 0.75}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'your business', 'construct': 'Economic / Income', 'weight': 0.75}]","['Economic / Income', 'Trauma / Health']"
GEN_EXPERIENCED_FINANCIAL_DIFFICULTIES_C,Any financial difficulties,COVID-19,Crisis-Specific,Generic,Generic Core,1.0,"['any financial difficulties', 'financial difficulties']",2,3,0.0,1.7,0.3,5.667,True,True,0.35,7.187,2.742,3.776,0.418,17.863,0.16,1,Have you experienced any financial difficulties because of the crisis?,"['any financial difficulties', 'financial difficulties']","[{'keyword': 'any financial difficulties', 'construct': 'Financial Coping', 'weight': 0.85}, {'keyword': 'financial difficulties', 'construct': 'Financial Coping', 'weight': 0.85}]",['Financial Coping']
GEN_LOSE_EARNINGS_PANDEMIC,Lost earnings because of the pandemic,COVID-19,Crisis-Specific,Generic,Toggle: Pandemic / Disaster,1.0,"['earnings', 'lost earnings', 'pandemic', 'the pandemic']",4,6,0.0,3.4,0.6,5.667,True,True,0.7,7.86,5.237,4.196,0.17,7.893,0.03,2,Did you lose earnings because of the pandemic?,"['earnings', 'lost earnings', 'pandemic', 'the pandemic']","[{'keyword': 'earnings', 'construct': 'Economic / Income', 'weight': 0.8}, {'keyword': 'lost earnings', 'construct': 'Economic / Income', 'weight': 0.8}, {'keyword': 'pandemic', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'the pandemic', 'construct': 'Trauma / Health', 'weight': 0.9}]","['Economic / Income', 'Trauma / Health']"
SPC_WORK_ENTIRELY_HOME_DURING,Only work from home,COVID-19,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.553,"['home', 'only work', 'work']",3,4,0.0,1.4,0.4,3.5,True,True,0.467,3.957,1.889,3.629,0.298,7.929,0.08,1,Did you work entirely from home during the crisis?,"['home', 'only work', 'work']","[{'keyword': 'only work', 'construct': 'Employment', 'weight': 0.7}, {'keyword': 'work', 'construct': 'Employment', 'weight': 0.7}]",['Employment']
SPC_STOPPED_WORK_CRISIS,stopped this work?,Govt Shutdown Income,Generic,Specific,Generic Core,0.553,"['stopped', 'this work', 'work']",3,4,0.0,1.4,0.4,3.5,True,True,0.467,4.134,1.974,3.911,0.298,7.929,0.08,1,Have you stopped this work because of the crisis?,"['stopped', 'this work', 'work']","[{'keyword': 'this work', 'construct': 'Employment', 'weight': 0.7}, {'keyword': 'work', 'construct': 'Employment', 'weight': 0.7}]",['Employment']
SPC_WAGES_SALARY_PAYMENTS_JOB,Were/Was there any wages or salarys from this job/these jobs?,Govt Shutdown Income,Generic,Specific,Generic Core,0.394,"['this job', 'any wages', 'job', 'jobs', 'salary', 'salarys', 'these jobs', 'wage']",8,10,0.5,3.0,1.1,2.727,True,True,1.167,4.134,4.892,4.178,0.117,10.784,0.08,2,Were there any wages or salary payments from this job during the crisis period?,"['this job', 'any wages', 'job', 'jobs', 'salary', 'salarys', 'these jobs', 'wage']","[{'keyword': 'this job', 'construct': 'Employment', 'weight': 0.7}, {'keyword': 'any wages', 'construct': 'Economic / Income', 'weight': 0.8}, {'keyword': 'job', 'construct': 'Employment', 'weight': 0.7}, {'keyword': 'salary', 'construct': 'Economic / Income', 'weight': 0.8}]","['Economic / Income', 'Employment']"
SPC_ANYONE_IMMEDIATE_FAMILY_KILLED,Was anyone in your immediate family killed as a result of Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.268,"['anyone', 'family', 'immediate family', 'katrina', 'killed', 'result', 'rita']",7,13,0.0,2.75,1.3,2.115,True,True,1.517,2.06,3.129,3.331,0.259,2.146,0.02,1,Was anyone in your immediate family killed as a result of the disaster?,"['anyone', 'family', 'immediate family', 'katrina', 'killed', 'result', 'rita']","[{'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'killed', 'construct': 'Trauma / Health', 'weight': 0.95}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_EXPERIENCE_HURRICANE_FORCE_WINDS,Did you experience hurricane force winds at your location during Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.26,"['experience', 'force winds', 'hurricane', 'katrina', 'location', 'rita', 'your location']",7,13,0.0,2.7,1.3,2.077,True,True,1.517,2.106,3.167,3.497,0.241,2.146,0.02,1,Did you experience hurricane force winds at your location during the disaster?,"['experience', 'force winds', 'hurricane', 'katrina', 'location', 'rita', 'your location']","[{'keyword': 'hurricane', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}]",['Trauma / Health']
SPC_EXPERIENCE_MAJOR_FLOODING_HOME,Did you experience major flooding in your home from Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Specific,Toggle: Pandemic / Disaster,0.613,"['experience', 'flooding', 'home', 'katrina', 'major flooding', 'rita', 'your home']",7,12,0.0,4.55,1.2,3.792,True,True,1.4,4.222,5.884,3.28,0.248,5.182,0.02,2,Did you experience major flooding in your home during the disaster?,"['experience', 'flooding', 'home', 'katrina', 'major flooding', 'rita', 'your home']","[{'keyword': 'flooding', 'construct': 'Housing / Shelter', 'weight': 0.95}, {'keyword': 'katrina', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'major flooding', 'construct': 'Housing / Shelter', 'weight': 0.95}, {'keyword': 'rita', 'construct': 'Trauma / Health', 'weight': 0.9}, {'keyword': 'your home', 'construct': 'Housing / Shelter', 'weight': 0.85}]","['Housing / Shelter', 'Trauma / Health']"
