questiontext,source,moduletype,togglecategory,keywords,nkeywords,ntagged,wordcount,complexity,Ui,Bi,Ri,selectedformodule
Was your home damaged or destroyed by Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle Pandemic Disaster,"damaged, destroyed, home, katrina, rita, your home",6,6,10,0.0,5.7,1.0,5.7,True
Was your business damaged or destroyed by Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle Pandemic Disaster,"business, damaged, destroyed, katrina, rita, your business",6,6,10,0.0,5.7,1.0,5.7,True
Any financial difficulties,COVID-19,Crisis-Specific,Generic Core,"any financial difficulties, financial difficulties",2,2,3,0.0,1.7,0.3,5.67,True
Lost earnings because of the pandemic,COVID-19,Crisis-Specific,Toggle Pandemic Disaster,"earnings, lost earnings, pandemic, the pandemic",4,4,6,0.0,3.4,0.6,5.67,True
Only work from home,COVID-19,Crisis-Specific,Toggle Pandemic Disaster,"home, only work, work",3,3,4,0.0,2.25,0.4,5.63,True
stopped this work?,Govt Shutdown Income,Generic,Generic Core,"stopped, this work, work",3,3,4,0.0,2.15,0.4,5.38,True
Were/Was there any wages or salarys from this job/these jobs?,Govt Shutdown Income,Generic,Generic Core,"this job, any wages, job, jobs, salary, salarys, these jobs, wage",8,8,10,0.5,5.7,1.1,5.18,True
Was anyone in your immediate family killed as a result of Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle Pandemic Disaster,"anyone, family, immediate family, katrina, killed, result, rita",7,7,13,0.0,6.65,1.3,5.12,True
Did you experience hurricane force winds at your location during Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle Pandemic Disaster,"experience, force winds, hurricane, katrina, location, rita, your location",7,7,13,0.0,6.65,1.3,5.12,True
Did you experience major flooding in your home from Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle Pandemic Disaster,"experience, flooding, home, katrina, major flooding, rita, your home",7,7,12,0.0,5.7,1.2,4.75,True
Received stimulus payment,COVID-19,Crisis-Specific,Toggle Pandemic Disaster,"received stimulus payment, stimulus payment",2,2,3,0.0,1.4,0.3,4.67,True
Were you physically injured in any way as a result of Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle Pandemic Disaster,"any way, injured, katrina, physically injured, result, rita",6,6,13,0.0,5.7,1.3,4.38,True
How severe was the property damage to your home from Katrina or Rita?,Hurricane Katrina 2007,Crisis-Specific,Toggle Pandemic Disaster,"damage, home, katrina, property damage, rita, severe, your home",7,7,13,0.0,5.7,1.3,4.38,True
